position,name,location,school,height,weight,fourty,stars,rating,rank,institution,year
rb,Joe McKnight,"River Ridge, Louisiana",John Curtis,78,193,,5,,1,USC,2007
qb,Tyrod Taylor,"Hampton, Virginia",Hampton,0,200,,5,,1,Virginia Tech,2007
dt,Marvin Austin,"Washington, District of Columbia",Ballou,0,291,,5,,1,North Carolina,2007
qb,Jimmy Clausen,"Westlake Village, California",Oaks Christian,78,200,,5,,1,Notre Dame,2007
ath,Chad Jones,"Baton Rouge, Louisiana",Southern Lab,0,220,,5,,1,LSU,2007
db,Eric Berry,"Fairburn, Georgia",Creekside,0,194,,5,,1,Tennessee,2007
lb,Chris Galippo,"Anaheim, California",Servite,78,235,,5,,1,USC,2007
rb,Noel Devine,"North Fort Myers, Florida",North Fort Myers,65,175,,5,,1,West Virginia,2007
te,Aron White,"Columbia, Missouri",Rock Bridge,0,213,,4,,1,Georgia,2007
lb,Chris Donald,"Huntingdon, Tennessee",Huntingdon,78,220,,5,,1,Tennessee,2007
de,Carlos Dunlap,"North Charleston, South Carolina",Fort Dorchester,78,260,,5,,1,Florida,2007
rb,Cody Johnson,"Waller, Texas",Waller,65,225,,4,,1,Texas,2007
de,Everson Griffen,"Avondale, Arizona",Agua Fria,78,266,,5,,1,USC,2007
ol,Josh Oglesby,"Milwaukee, Wisconsin",St. Frances,78,315,,5,,1,Wisconsin,2007
db,Jerimy Finch,"Indianapolis, Indiana",Warren Central,0,203,,4,,1,Florida,2007
ol,James Wilson,"Ponte Vedra, Florida",Nease,78,308,,5,,1,Florida,2007
wr,Ronald Johnson,"Muskegon, Michigan",Muskegon,0,177,,5,,1,USC,2007
k,Billy Bennett,"San Diego, California",Torrey Pines,0,191,,3,,1,Boston College,2007
ol,Jason Hannan,"Waxahachie, Texas",Waxahachie,0,277,,4,,1,Oklahoma,2007
qb,Ryan Mallett,"Texarkana, Texas",Texas,78,235,,5,,2,Michigan,2007
qb,Cameron Newton,"Atlanta, Georgia",Westlake,0,232,,5,,2,Florida,2007
rb,Marc Tyler,"Westlake Village, California",Oaks Christian,78,215,,5,,2,USC,2007
ath,John Chiles,"Mansfield, Texas",Mansfield Summit,0,195,,4,,2,Texas,2007
dt,Torrey Davis,"Seffner, Florida",Armwood,78,290,,5,,2,Florida,2007
te,Aaron Hernandez,"Bristol, Connecticut",Bristol Central,78,235,,4,,2,Florida,2007
lb,Rolando McClain,"Decatur, Alabama",Decatur,78,240,,4,,2,Alabama,2007
wr,Terrance Toliver,"Hempstead, Texas",Hempstead,0,185,,5,,2,LSU,2007
lb,Kendall Smith,"Bushnell, Florida",South Sumter,0,207,,4,,2,Florida State,2007
k,Wes Byrum,"Fort Lauderdale, Florida",St. Thomas Aquinas,78,195,,3,,2,Auburn,2007
de,Ben Martin,"Cincinnati, Ohio",La Salle,78,230,,5,,2,Tennessee,2007
rb,Armando Allen,"Hialeah, Florida",Miami Lakes,0,181,,4,,2,Notre Dame,2007
ol,Tray Allen,"Grand Prairie, Texas",South Grand Prairie,0,305,,5,,2,Texas,2007
rb,Quentin Castille,"La Porte, Texas",La Porte,0,234,,4,,2,Nebraska,2007
de,Martez Wilson,"Chicago, Illinois",Simeon,0,230,,5,,2,Illinois,2007
db,Major Wright,"Fort Lauderdale, Florida",St. Thomas Aquinas,78,200,,4,,2,Florida,2007
db,Curtis Brown,"Gilmer, Texas",Gilmer,0,174,,5,,2,Texas,2007
ol,Ryan Miller,"Littleton, Colorado",Columbine,0,278,,5,,2,Colorado,2007
ol,T-Bob Hebert,"Norcross, Georgia",Greater Atlanta Christian,0,256,,4,,2,LSU,2007
ath,Joe Haden,"Ft. Washington, Maryland",Friendly,0,189,,4,,3,Florida,2007
db,Donovan Warren,"Long Beach, California",Poly,78,175,,5,,3,Michigan,2007
wr,Chris Culliver,"Garner, North Carolina",Garner,0,188,,5,,3,South Carolina,2007
te,Mike Ragone,"Cherry Hill, New Jersey",Camden Catholic,0,221,,4,,3,Notre Dame,2007
rb,Enrique Davis,"Lynn Haven, Florida",Mosley,0,212,,4,,3,Auburn,2007
lb,Jordan Campbell,"Corona, California",Norco,0,226,,4,,3,USC,2007
qb,Aaron Corp,"Villa Park, California",Lutheran,78,195,,4,,3,USC,2007
dt,Da'John Harris,"Gardena, California",Serra,0,266,,4,,3,USC,2007
rb,Raymond Carter,"Los Angeles, California",Crenshaw,0,187,,4,,3,UCLA,2007
de,Chris Strong,"Batesville, Mississippi",South Panola,78,251,,4,,3,Mississippi,2007
ol,Ryan Pugh,"Hoover, Alabama",Hoover,78,275,,4,,3,Auburn,2007
