position,name,location,school,height,weight,fourty,stars,rating,rank,institution,year
ol,Andre Smith,"Birmingham, Alabama",Huffman,0,325,,5,,1,Alabama,2006
rb,Chris Wells,"Akron, Ohio",Garfield High School,78,228,,5,,1,Ohio State,2006
qb,Tim Tebow,"Ponte Vedra Beach, Florida",Nease,0,217,,5,,1,Florida,2006
qb,Matthew Stafford,"Dallas, Texas",Highland Park,78,210,,5,,1,Georgia,2006
dt,Gerald McCoy,"Oklahoma City, Oklahoma",Southeast,0,305,,5,,1,Oklahoma,2006
rb,C.J. Spiller,"Lake Butler, Florida",Union County,65,190,,5,,1,Clemson,2006
wr,Percy Harvin,"Virginia Beach, Virginia",Landstown,78,188,,5,,1,Florida,2006
lb,Sergio Kindle,"Dallas, Texas",Woodrow Wilson,78,225,,5,,1,Texas,2006
te,Jermaine Gresham,"Ardmore, Oklahoma","",78,230,,4,,1,Oklahoma,2006
ath,Myron Rolle,"Princeton, New Jersey",The Hun School,0,214,,5,,1,Florida State,2006
ol,Sam Young,"Ft. Lauderdale, Florida",St. Thomas Aquinas,78,302,,5,,1,Notre Dame,2006
db,A.J. Wallace,"Pomfret, Maryland",McDonough,78,195,,5,,1,Penn State,2006
lb,Allen Bradford,"Colton, California",Colton,65,219,,5,,1,USC,2006
rb,Brandon Minor,"Richmond, Virginia",Varina,78,213,,4,,1,Michigan,2006
de,Robert Rose,"Cleveland, Ohio",Glenville Academic Campus,78,255,,5,,1,Ohio State,2006
de,Ricky Sapp,"Bamberg, South Carolina",Bamberg-Ehrhardt,78,225,,5,,1,Clemson,2006
db,Reshad Jones,"Atlanta, Georgia",Booker T. Washington,78,173,,5,,1,Georgia,2006
ol,Justin Boren,"Pickerington, Ohio",North,78,319,,4,,1,Michigan,2006
k,Kai Forbath,"Sherman Oaks, California",Notre Dame,78,175,,3,,1,UCLA,2006
qb,Mitch Mustain,"Springdale, Arkansas",Springdale,78,208,,5,,2,Arkansas,2006
lb,Brandon Spikes,"Shelby, North Carolina",Crest,78,235,,5,,2,Florida,2006
rb,Demarco Murray,"Las Vegas, Nevada",Bishop Gorman,0,183,,4,,2,Oklahoma,2006
de,Micah Johnson,"Ft. Campbell, Kentucky","",0,267,,4,,2,Kentucky,2006
ath,Taylor Mays,"Seattle, Washington",O'Dea,0,218,,5,,2,USC,2006
wr,Vidal Hazelton,"Chatham, Virginia",Hargrave Military Academy,78,193,,5,,2,USC,2006
db,Antwine Perez,"Camden, New Jersey",Wilson,0,199,,4,,2,USC,2006
ol,Daron Rose,"Tampa, Florida",Jefferson,78,310,,4,,2,Florida State,2006
te,NaDerris Ward,"Oakland, California",McClymonds,78,247,,4,,2,Georgia,2006
qb,Demetrius Jones,"Chicago, Illinois",Morgan Park,0,192,,4,,2,Notre Dame,2006
de,Brandon Warren,"Alcoa, Tennessee",Alcoa,78,230,,5,,2,Florida State,2006
lb,Brandon Graham,"Detroit, Michigan",Crockett,78,250,,5,,2,Michigan,2006
rb,Stafon Johnson,"Los Angeles, California",Dorsey,65,200,,5,,2,USC,2006
db,Shareece Wright,"Colton, California",Colton,65,180,,4,,2,USC,2006
k,Hunter Lawrence,"Boerne, Texas","",78,180,,3,,2,Texas,2006
ol,David Ross,"Homewood, Alabama",Homewood,78,295,,4,,2,Alabama,2006
rb,Brandon King,"Doylestown, Pennsylvania",Central Bucks West,78,240,,4,,2,Duke,2006
dt,Al Woods,"Elton, Louisiana",Elton,78,329,,5,,2,LSU,2006
ol,Stephen Schilling,"Bellevue, Washington",Bellevue,78,290,,5,,2,Michigan,2006
de,Maurice Evans,"Middle Village, New York",Christ The King,78,245,,4,,3,Penn State,2006
dt,Jared Odrick,"Lebanon, Pennsylvania",Lebanon,0,303,,4,,3,Penn State,2006
qb,Jevan Snead,"Stephenville, Texas",Stephenville,78,205,,4,,3,Texas,2006
ol,Carl Johnson,"Durham, North Carolina",Southern High,78,348,,5,,3,Florida,2006
rb,Vondrell McGee,"Longview, Texas","",65,190,,4,,3,Texas,2006
db,Darrin Walls,"Pittsburgh, Pennsylvania",Woodland Hills,78,172,,4,,3,Notre Dame,2006
te,Konrad Reuland,"Mission Viejo, California",Mission Viejo,78,239,,4,,3,Notre Dame,2006
qb,Isiah Williams,"Chicago, Illinois",Chicago Vocational,78,207,,4,,3,Illinois,2006
lb,Marcus Ball,"Stone Mountain, Georgia",Stephenson,78,204,,4,,3,Florida State,2006
ath,C.J. Gable,"Sylmar, California",Sylmar,65,180,,5,,3,USC,2006
lb,Joshua Tatum,"Oakland, California",McClymonds,78,219,,4,,3,USC,2006
db,Jonas Mouton,"Venice, California",Venice,78,212,,4,,3,Michigan,2006
ol,Daniel Wenger,"Ft. Lauderdale, Florida",St. Thomas Aquinas,78,280,,4,,3,Notre Dame,2006
rb,Stanley Havili,"Salt Lake, Utah",Cottonwood Senior,0,208,,4,,3,USC,2006
de,Eddie Jones,"Kilgore, Texas",Kilgore,78,240,,5,,3,Texas,2006
wr,Adron Tennell,"Irving, Texas",Irving,78,200,,4,,3,Oklahoma,2006
ol,J'Marcus Webb,"Mesquite, Texas",North Mesquite,78,285,,4,,3,Texas,2006
k,Richard Jackson,"Greer, South Carolina",Riverside,65,185,,3,,3,Clemson,2006
rb,James Aldridge,"Crown Point, Indiana",Merrillville,78,215,,5,,3,Notre Dame,2006
rb,Michael Goodson,"Klein, Texas",Klein Collins,78,205,,4,,4,Texas A&M,2006
qb,Josh Freeman,"Grandview, Missouri","",0,231,,4,,4,Kansas State,2006
wr,Tim Hawthorne,"Homewood, Alabama",Homewood,78,199,,4,,4,Auburn,2006
